@*****oogha, 13129, $100, Humor & Memes, 11/08/2019
@*********dventures, 10456, $145, Travel & Nature, 28/08/2019
@*******.earth, 7331, $110, Pets & Animals, 07/09/2019
@*********todolist, 65005, $2000, Travel & Nature, 11/08/2019
@********mes6969, 37811, $200, Humor & Memes, 11/08/2019
@*******hionpix, 9699, $125, Fashion & Style, 11/09/2019
@******scout5, 41663, $300, Travel & Nature, 11/08/2019
@*******cout12, 42662, $300, Travel & Nature, 11/08/2019
@*****cious, 13207, $125, Fashion & Style, 11/08/2019
@*******nus.gh, 82000, $350, Pets & Animals, 22/08/2019
@*******icially, 6688, $150, Quotes & Text, 11/08/2019
@****n_jr, 8254, $100, Blog & Lifestyle, 11/08/2019
@******.soch, 10167, $125, Humor & Memes, 11/08/2019
@******_peach, 18643, $198, Fitness & Sports, 11/08/2019
@*********.gorgeous, 46519, $490, Quotes & Text, 22/08/2019
@********te.insta, 6505, $100, Fashion & Style, 11/08/2019
@******apaula, 10039, $135, Health & Beauty, 09/08/2019
@******rtoes, 71303, $1700, Quotes & Text, 09/08/2019
@********st.earth, 16959, $250, Travel & Nature, 01/09/2019
@**********stinations, 14874, $180, Travel & Nature, 01/09/2019
@*********_favorite, 8428, $135, Travel & Nature, 07/09/2019
@***********stinations, 8639, $125, Travel & Nature, 07/09/2019
@*******s_earth, 7850, $110, Travel & Nature, 25/08/2019
@*******lsfans, 5746, $1000, Fitness & Sports, 09/08/2019
@****cout, 31077, $5000, Fitness & Sports, 09/08/2019
@*****_rose, 11015, $300, Movies TV & Fanpages, 09/08/2019
@********routine, 15509, $170, Health & Beauty, 16/08/2019
@*******arling, 42419, $5000, Movies TV & Fanpages, 08/08/2019
@*****rals, 6104, $100, Blog & Lifestyle, 08/08/2019
@********nmotion, 13522, $150, Fitness & Sports, 08/08/2019
@********tactics, 27914, $800, Food & Nutrition, 08/08/2019
@****2049, 179627, $4250, Art & Design, 08/08/2019
@**********pirationz, 16552, $250, Fitness & Sports, 12/09/2019
@*******r.tops, 13159, $125, Gaming & Entertainment, 08/08/2019
@*********e_19.visi, 16667, $300, Business & Brand, 08/08/2019
